Date,Open,High,Low,Close,Adj Close,Volume
8/1/2011,96.199997,98.599998,75.709999,88.809998,88.809998,8623260
9/1/2011,88.730003,90.519997,77.110001,79.199997,79.199997,6687717
10/1/2011,78.919998,94.650002,74.949997,93.190002,93.190002,6923687
11/1/2011,92.580002,103.370003,89.169998,100.360001,100.360001,6546619
12/1/2011,100.510002,102.440002,92.519997,98.830002,98.830002,4905263
1/1/2012,99.699997,103.739998,97.400002,98.480003,98.480003,5698759
2/1/2012,98.379997,109.949997,95.440002,107.07,107.07,5837415
3/1/2012,106.82,110.550003,102.129997,103.019997,103.019997,6022417
4/1/2012,103.269997,105.489998,100.68,104.870003,104.870003,4682534
5/1/2012,104.889999,106.43,85.860001,86.529999,86.529999,6008992
6/1/2012,86.440002,87.029999,77.279999,84.959999,84.959999,6321933
7/1/2012,84.650002,92.940002,82.099998,88.059998,88.059998,5496180
8/1/2012,88.029999,98.290001,86.919998,96.470001,96.470001,5267722
9/1/2012,96.379997,100.419998,88.949997,92.190002,92.190002,4549667
10/1/2012,92.150002,93.660004,84.660004,86.239998,86.239998,5491372
11/1/2012,86.099998,89.800003,84.050003,88.910004,88.910004,5396754
12/1/2012,88.849998,91.989998,85.209999,91.82,91.82,3789627
1/1/2013,91.779999,98.239998,91.519997,97.489998,97.489998,4573516
2/1/2013,97.419998,98.150002,91.57,92.050003,92.050003,4427942
3/1/2013,91.760002,97.349998,89.330002,97.230003,97.230003,4226621
4/1/2013,97.360001,97.800003,85.610001,93.459999,93.459999,5632039
5/1/2013,93.080002,97.169998,90.110001,91.970001,91.970001,6126412
6/1/2013,91.730003,99.010002,91.260002,96.559998,96.559998,5266358
7/1/2013,96.580002,109.32,96.07,105.029999,105.029999,5636543
8/1/2013,105.260002,112.239998,102.220001,107.650002,107.650002,5634934
9/1/2013,107.07,110.699997,101.050003,102.330002,102.330002,4794167
10/1/2013,102.309998,104.379997,95.949997,96.379997,96.379997,5458477
11/1/2013,96.32,96.650002,91.769997,92.720001,92.720001,4709460
12/1/2013,92.709999,100.75,92.559998,98.419998,98.419998,3828981
1/1/2014,98.5,98.970001,91.239998,97.489998,97.489998,4699881
2/1/2014,97.400002,103.800003,96.260002,102.589996,102.589996,4092761
3/1/2014,103,105.220001,97.370003,101.580002,101.580002,4805002
4/1/2014,101.529999,104.989998,98.860001,99.739998,99.739998,4991696
5/1/2014,99.720001,104.5,98.739998,102.709999,102.709999,4580697
6/1/2014,102.919998,107.730003,101.599998,105.370003,105.370003,4302933
7/1/2014,105.440002,106.089996,97.599998,98.169998,98.169998,5346395
8/1/2014,97.699997,98.669998,92.5,95.959999,95.959999,4773185
9/1/2014,95.809998,95.910004,90.43,91.160004,91.160004,5762880
10/1/2014,91.360001,92.959999,79.440002,80.540001,80.540001,7448385
11/1/2014,80.589996,80.980003,65.690002,66.150002,66.150002,6055929
12/1/2014,66,69.540001,52.439999,53.27,53.27,6919717
1/1/2015,53.759998,55.110001,43.580002,48.240002,48.240002,7699363
2/1/2015,47.59,54.240002,46.669998,49.759998,49.759998,8798437
3/1/2015,49.450001,52.48,42.029999,47.599998,47.599998,8046270
4/1/2015,47.549999,59.900002,47.049999,59.68,59.68,118763255
5/1/2015,59.790001,62.580002,56.509998,58.349998,58.349998,172338609
6/1/2015,60.290001,61.82,56.830002,59.09,59.09,1648372521
7/1/2015,58.98,58.98,46.68,47.119999,47.119999,7403886
8/1/2015,47.119999,49.330002,37.75,49.200001,49.200001,2869687200
9/1/2015,48.099998,48.869999,43.209999,45.34,45.34,714896123
